r, g, b
0.7117558404953863, 0.7241067177896139, 0.7135756187953873
0.8537243820721441, 0.6236721533826494, 0.5911207907045054
0.9990444165359488, 0.9990444165359497, 0.9991282454882999
0.6384508203485488, 0.6407406254602667, 0.6399270529884528
0.029754059320039394, 0.030214478150104366, 0.9929552702497835
0.6494839844376828, 0.49978576001304326, 0.3034203050459198
0.4546544755301956, 0.45473591147074616, 0.5652074047264024
0.9935370042015539, 0.03342265656393134, 0.033147460386693174
0.13333494504654253, 0.13333494504654253, 0.30890159887392593
0.5151989989160267, 0.49694652135991074, 0.7798397424339695
0.8248888686350723, 0.7392692415428042, 0.6630186987703129
0.8156861497201037, 0.815686277527634, 0.8156861497235535
0.9333461920946213, 0.9333144233902627, 0.788244370890321
0.3146043582830767, 0.3057165668451515, 0.8803438185938302
0.9388416429569485, 0.9327145130126221, 0.9382747484475458
0.9437313139820116, 0.24136268479145387, 0.24099562056028703
0.772943765466974, 0.5628659017316024, 0.45827274865364837
0.950458192170166, 0.8555879797841153, 0.12194313062200549
0.2819921075196828, 0.28199693143280985, 0.4267879353887581
0.7579835419946509, 0.7760914213765928, 0.7609557881634407
0.807748962493363, 0.8745792022624567, 0.8020238199107071
0.8684315360244242, 0.8723132460871253, 0.8762635740925583
0.84704535274855, 0.9411577244874324, 0.8470427150734119
0.9059689667452647, 0.8475448285531397, 0.7198511618787733
0.8841696775273842, 0.9544521847364436, 0.7782696924267747
