r0,g0,b0,r1,g1,b1,r2,g2,b2,r3,g3,b3,r4,g4,b4,r5,g5,b5,r6,g6,b6,r7,g7,b7,r8,g8,b8,r9,g9,b9,r10,g10,b10,r11,g11,b11,r12,g12,b12,r13,g13,b13,r14,g14,b14,r15,g15,b15,r16,g16,b16,r17,g17,b17,r18,g18,b18,r19,g19,b19,r20,g20,b20,r21,g21,b21,r22,g22,b22,r23,g23,b23,r24,g24,b24,cluster
0.378319,0.378293,0.424504,0.430044,0.430469,0.477136,0.310903,0.311284,0.361839,0.262122,0.262005,0.319973,0.286925,0.287159,0.347943,0.245538,0.248123,0.301494,0.299869,0.302333,0.356334,0.326678,0.328774,0.385429,0.243698,0.245527,0.305441,0.26147,0.264078,0.32615,0.220544,0.226544,0.282286,0.222056,0.227612,0.288483,0.227133,0.233356,0.297785,0.242261,0.248622,0.312278,0.28697,0.292773,0.354895,0.252578,0.25369,0.286545,0.103286,0.102153,0.128039,0.149177,0.151456,0.195535,0.186096,0.191312,0.249742,0.24708,0.254327,0.315821,0.837125,0.838239,0.876394,0.726363,0.727044,0.762992,0.37529,0.376023,0.410577,0.264374,0.26916,0.325743,0.220955,0.228851,0.291993,cluster1
0.347818,0.329759,0.373132,0.433496,0.416985,0.459023,0.304927,0.287695,0.327978,0.292593,0.270616,0.31316,0.301782,0.280812,0.324732,0.312207,0.28989,0.335374,0.300159,0.278959,0.322585,0.315129,0.291169,0.334365,0.337923,0.309118,0.355831,0.318708,0.291508,0.338546,0.347527,0.319505,0.366684,0.345369,0.317108,0.363228,0.344261,0.315643,0.362665,0.344163,0.313479,0.361974,0.338516,0.307151,0.356924,0.343352,0.316678,0.364539,0.341697,0.31425,0.361201,0.341879,0.313779,0.362242,0.343033,0.313288,0.363193,0.340986,0.309053,0.361362,0.338103,0.310553,0.360322,0.337948,0.308904,0.358528,0.339554,0.310437,0.35997,0.340477,0.30999,0.36053,0.336396,0.304866,0.356696,cluster1
0.369699,0.333412,0.376265,0.364062,0.330943,0.375806,0.362562,0.329882,0.374164,0.355742,0.323721,0.36757,0.34973,0.317368,0.359882,0.372377,0.338323,0.382028,0.363866,0.331035,0.376903,0.364868,0.331473,0.376065,0.357426,0.324663,0.369061,0.353127,0.319847,0.362989,0.374685,0.34125,0.384854,0.368701,0.335835,0.380986,0.366103,0.332635,0.377604,0.352193,0.319676,0.364087,0.343653,0.311659,0.354409,0.372544,0.33792,0.381456,0.372494,0.338713,0.382373,0.361123,0.327975,0.371369,0.341335,0.3102,0.353428,0.33161,0.301191,0.343469,0.366875,0.333016,0.376583,0.369283,0.336051,0.377934,0.354141,0.322312,0.364491,0.3308,0.301578,0.344417,0.319059,0.291505,0.332949,cluster1
0.389484,0.383271,0.387712,0.380875,0.37603,0.380409,0.362964,0.358689,0.367001,0.363577,0.359916,0.371233,0.360448,0.356335,0.366851,0.401254,0.394198,0.397376,0.391244,0.384076,0.390067,0.372231,0.365909,0.375452,0.369883,0.365152,0.377026,0.368651,0.363008,0.375816,0.398254,0.393271,0.395897,0.387475,0.381352,0.387896,0.370804,0.363895,0.373991,0.371663,0.366444,0.376706,0.371096,0.364532,0.375139,0.395752,0.391685,0.396532,0.38056,0.376143,0.384092,0.366769,0.361034,0.371902,0.372115,0.367763,0.377783,0.373269,0.36747,0.376225,0.401572,0.39307,0.403249,0.378431,0.371929,0.383989,0.358742,0.353261,0.366281,0.364158,0.359859,0.370897,0.368442,0.364149,0.372457,cluster1
0.489585,0.412958,0.413963,0.441108,0.365248,0.372887,0.427673,0.35309,0.3707,0.424738,0.350734,0.371658,0.423871,0.354238,0.376426,0.46847,0.387531,0.385885,0.472127,0.390535,0.390887,0.468861,0.387127,0.392659,0.458133,0.376831,0.38936,0.450332,0.373349,0.3897,0.460389,0.38312,0.382645,0.472244,0.392179,0.393466,0.469755,0.389878,0.393174,0.460771,0.381932,0.389725,0.455172,0.378541,0.39199,0.447571,0.37897,0.379366,0.44051,0.367379,0.369097,0.459686,0.3828,0.3865,0.460652,0.384141,0.390373,0.454282,0.379555,0.393058,0.503542,0.439132,0.440377,0.454706,0.387381,0.388914,0.444992,0.374687,0.377575,0.4502,0.378739,0.383813,0.453025,0.381688,0.392618,cluster2
0.440386,0.45456,0.519531,0.451419,0.470657,0.542073,0.450513,0.472188,0.545985,0.453306,0.476618,0.552438,0.454952,0.477491,0.552606,0.414664,0.436488,0.505906,0.427854,0.452563,0.526286,0.430226,0.455413,0.530805,0.434941,0.460195,0.537401,0.438953,0.460029,0.534702,0.39652,0.423141,0.494222,0.409018,0.438751,0.514128,0.414822,0.445383,0.523249,0.418367,0.447957,0.526732,0.421879,0.445661,0.521418,0.368598,0.398545,0.466938,0.388132,0.420038,0.491879,0.393447,0.42555,0.501424,0.399712,0.430346,0.507966,0.401272,0.426108,0.501401,0.304684,0.332629,0.395465,0.333331,0.364026,0.429665,0.362066,0.393963,0.463184,0.361019,0.393817,0.463689,0.363432,0.390823,0.460581,cluster2
0.523415,0.484883,0.513769,0.524315,0.485944,0.515327,0.524932,0.486908,0.516568,0.525526,0.487829,0.51775,0.526166,0.488706,0.51879,0.525262,0.48658,0.516721,0.525887,0.487518,0.517957,0.526418,0.488399,0.519072,0.526924,0.489236,0.520122,0.527406,0.490033,0.521121,0.524712,0.487512,0.517285,0.525235,0.488454,0.518613,0.526073,0.489608,0.520091,0.526594,0.490384,0.521092,0.52709,0.491122,0.52204,0.524149,0.488468,0.518018,0.524689,0.489344,0.519234,0.525123,0.490146,0.520453,0.525577,0.49095,0.521609,0.526174,0.49172,0.522613,0.524058,0.489064,0.514909,0.526825,0.491736,0.517236,0.528004,0.493014,0.518971,0.528629,0.493856,0.520343,0.529222,0.494655,0.521646,cluster2
0.221845,0.220751,0.244478,0.324384,0.284281,0.288184,0.425044,0.35825,0.345805,0.45886,0.389121,0.373422,0.517581,0.448786,0.435052,0.31017,0.284365,0.290619,0.453079,0.377632,0.36032,0.495077,0.412633,0.393345,0.482635,0.411339,0.395562,0.524626,0.454768,0.440035,0.391191,0.342095,0.334113,0.486339,0.407571,0.387099,0.513061,0.433333,0.414327,0.511162,0.437576,0.421874,0.531402,0.461486,0.447484,0.451549,0.389905,0.377997,0.516243,0.43811,0.420822,0.534297,0.455364,0.438377,0.528061,0.453214,0.440023,0.538859,0.467482,0.456678,0.491938,0.426271,0.412859,0.552602,0.470571,0.455635,0.554214,0.47225,0.460814,0.53013,0.456553,0.448481,0.561579,0.495191,0.489407,cluster2
0.33369,0.299791,0.343452,0.348709,0.310523,0.356607,0.346384,0.307893,0.355162,0.329637,0.291543,0.337108,0.34307,0.306672,0.345584,0.32913,0.291208,0.331657,0.289065,0.256919,0.290903,0.242183,0.219737,0.245597,0.247211,0.228584,0.250336,0.268104,0.249851,0.270041,0.284448,0.254925,0.285051,0.378693,0.355883,0.374616,0.655058,0.638359,0.652917,0.764116,0.747438,0.760186,0.764852,0.748449,0.759806,0.22633,0.20298,0.229608,0.53043,0.510473,0.52433,0.78508,0.76829,0.779752,0.550349,0.530819,0.544788,0.366867,0.343171,0.357551,0.242418,0.219914,0.246513,0.619306,0.600055,0.613505,0.704388,0.686875,0.699247,0.391384,0.369411,0.383602,0.362917,0.330479,0.352085,cluster2
0.187472,0.187124,0.227185,0.16768,0.168698,0.212329,0.19176,0.191003,0.228751,0.280062,0.277638,0.309762,0.447494,0.444029,0.475824,0.345332,0.345327,0.368767,0.155726,0.155247,0.179488,0.12033,0.122205,0.155316,0.156157,0.157517,0.199806,0.156689,0.154479,0.193355,0.707487,0.706654,0.719697,0.752345,0.750627,0.762103,0.501124,0.499998,0.515767,0.243157,0.242221,0.267888,0.185505,0.18547,0.227413,0.292583,0.29376,0.314667,0.57896,0.57815,0.591419,0.805619,0.804049,0.813392,0.661316,0.659583,0.671301,0.393402,0.3904,0.408337,0.139121,0.14418,0.1825,0.168706,0.169286,0.196086,0.437043,0.436596,0.454918,0.686706,0.685204,0.698995,0.547345,0.54539,0.561362,cluster1
